r_si,r_gu,r_name,r_address
서울특별시,강동구,리끼다,서울특별시 강동구 천호대로 168가길 64 
서울특별시,강동구,라그릴리아천호점,서울특별시 강동구 천호대로 1005 
서울특별시,강동구,등촌동샤브샤브칼국수,서울특별시 강동구 양재대로 1665
서울특별시,강동구,동촌수끼샤브칼국수,서울특별시 강동구 명일로 106-12 
서울특별시,강동구,돌판구이 또박이,서울특별시 강동구 구천면로 17길32 
서울특별시,강동구,도원스타일천호점,서울특별시 강동구 천호대로 1005
서울특별시,강동구,더두툼생고기,서울특별시 강동구 구천면로 666
서울특별시,강동구,대관령 두부마을,서울특별시 강동구 성안로3길 99 
서울특별시,강동구,농부의 꿈,서울특별시 강동구 상일로 33 
서울특별시,강동구,놀부부대찌개 고덕역점,서울특별시 강동구 동남로75길 13-21 
서울특별시,강동구,낙지전문점무교동홍낙,서울특별시 강동구 강동대로 189
서울특별시,강동구,나주관,서울특별시 강동구 강동대로53길 31 
서울특별시,강동구,꿀꿀진순대국,서울특별시 강동구 양재대로 103길70
서울특별시,강동구,길조,서울특별시 강동구 천호대로 1173
서울특별시,강동구,긴자,서울특별시 강동구 강동대로 223
서울특별시,강동구,고덕가든,서울특별시 강동구 아리수로 181-19
서울특별시,강동구,갯마루,서울특별시 강동구 양재대로103길 38
서울특별시,강동구,개삼터 오리전문점,서울특별시 강동구 양재대로124길 35 
서울특별시,강동구,강앤치킨,서울특별시 강동구 상일로 6길39 
서울특별시,강동구,강동일식,서울특별시 강동구 동남로73길 17
서울특별시,강동구,강동반상,서울특별시 강동구 상일로 6길39 
서울특별시,강동구,강돈,서울특별시 강동구 상일로 6길39
서울특별시,강동구,3692숯불바베큐전문점,서울특별시 강동구 강동대로 177
서울특별시,강동구,1등 돼지숯불갈비,서울특별시 강동구 상암로12길 9
서울특별시,강서구,화로구이,서울특별시 강서구 강서로 374
서울특별시,강서구,홍린,서울특별시 강서구 우장산로15길 25
서울특별시,강서구,현대옥서울강서점,서울특별시 강서구 화곡로 346
서울특별시,강서구,한우정,서울특별시 강서구 공항대로 195
서울특별시,강서구,한우리김포점,서울특별시 강서구 하늘길 38
서울특별시,강서구,한옥마을전주비빔밥강서점,서울특별시 강서구 화곡로 398
서울특별시,강서구,하남돼지집발산점,서울특별시 강서구 강서로54길 49
서울특별시,강서구,풍천황토민물장어,서울특별시 강서구 양천로 410
서울특별시,강서구,푸주도가니,서울특별시 강서구 까치산로 183
서울특별시,강서구,푸드엠파이어이대서울병원청진동순두부,서울특별시 강서구 공항대로 260
서울특별시,강서구,푸드엠파이어이대서울병원불고기명가,서울특별시 강서구 공항대로 260
서울특별시,강서구,푸드엠파이어이대서울병원남산왕돈가스,서울특별시 강서구 공항대로 260
서울특별시,강서구,페이페이롯데몰김포공항점,서울특별시 강서구 하늘길 38
서울특별시,강서구,팔도미락,서울특별시 강서구 우장산로 123
서울특별시,강서구,토끼정마곡점,서울특별시 강서구 마곡동로 55
서울특별시,강서구,토끼정롯데몰김포공항점,서울특별시 강서구 하늘길 38
서울특별시,강서구,태풍참치,서울특별시 강서구 공항대로 261
서울특별시,강서구,코코이찌방야롯데몰김포공항점,서울특별시 강서구 하늘길 38
서울특별시,강서구,캘리포니아피자키친김포공항점,서울특별시 강서구 하늘길 38
서울특별시,강서구,캐슬테라스(CastleTerrace),서울특별시 강서구 방화대로 94
서울특별시,강서구,카리브,서울특별시 강서구 공항대로 271
서울특별시,강서구,취락한방능이백숙,서울특별시 강서구 화곡로53길 7-8
서울특별시,강서구,춘천전통69닭갈비,서울특별시 강서구 송정로 64
서울특별시,강서구,촌장골,서울특별시 강서구 양천로 59
서울특별시,강서구,초애삼계탕마곡점,서울특별시 강서구 공항대로 205
서울특별시,강서구,청산별곡,서울특별시 강서구 공항대로 290
서울특별시,강서구,채선당월남쌈샤브(마곡점),서울특별시 강서구 마곡동로 56
서울특별시,강서구,채선당,서울특별시 강서구 양천로 28
서울특별시,강서구,참치왕양승호,서울특별시 강서구 마곡동로4길 15
서울특별시,강서구,차이(Chai)797김포롯데몰점,서울특별시 강서구 하늘길 38
서울특별시,강서구,지호한방삼계탕,서울특별시 강서구 등촌로 69
서울특별시,강서구,죽이야기,서울특별시 강서구 강서로47가길 6
서울특별시,강서구,주식회사한우1번지,서울특별시 강서구 양천로 564
